Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940622123981,720575940621717469,2,GABA,WV-WV-1,WV-WV-3,2.326923077,2.846153846,,
720575940642412941,720575940605095346,3,Ach,B1-2,WV-WV-2,3.221153846,3.544871795,,3.419337607
720575940620537435,720575940622295585,4,Ach,JO-A,JO-A,,,,
720575940634781594,720575940627410944,1,Ach,JO-B,B1-2,,2.298076923,,
720575940630534615,720575940635330204,22,Ach,JO-A,WV-WV-1,,2.631410256,,
720575940635330204,720575940634299071,4,GABA,WV-WV-1,WED_pr02,2.631410256,3.243589744,,
720575940611335859,720575940634877850,4,GABA,SAD_pr02,B1-5,3.096153846,3.028846154,,
720575940637389534,720575940620537435,1,Ach,JO-A,JO-A,,,,
720575940642063245,720575940616121408,2,Ach,JO-A,WED_pr02,,3.378205128,,
720575940618758753,720575940630258003,29,Ach,B1-2,WED_pr02,3.743589744,3.403846154,,
720575940625887631,720575940624087283,1,GABA,WED_pr02,B1-5,3.516025641,3.141025641,,
720575940634571383,720575940635330204,1,GABA,WV-WV-2,WV-WV-1,3.5,2.631410256,,
720575940624428728,720575940625146122,20,Ach,JO-A,A2,,2.291666667,,
720575940608457483,720575940632945177,31,Ach,JO-A,WV-WV-3,,2.326923077,,
720575940637418549,720575940622123981,3,Ach,JO-A,WV-WV-1,,2.326923077,,
720575940642063245,720575940623322877,6,Ach,JO-A,WV-WV-1,,3.176282051,,2.711538462
720575940620581748,720575940631153194,13,GABA,WED_pr02,AVLP_pr23,3.439102564,3.240384615,,
720575940654117025,720575940606743170,1,Ach,B1-3,WED_pr02,2.483974359,3.397435897,,
720575940623529875,720575940622297855,5,Ach,JO-B,JO-B,,,,
720575940618772719,720575940625597317,11,Ach,aPN2,aPN2,4.592948718,4.759615385,4.389880952,
720575940611674265,720575940622297855,14,GABA,WED_pr02,JO-B,3.128205128,,,
720575940611674265,720575940631922969,4,GABA,WED_pr02,WED-VLP-1,3.128205128,3.054487179,,
720575940628528377,720575940618475101,1,GABA,vpoIN-1,pC2lb,5.78525641,5.131410256,,
