Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940634299071,WED_pr02,GABA,3.243589744,
720575940637410394,WED_pr02,GABA,3.147435897,
720575940635981742,WED_pr02,GABA,3.378205128,
720575940630258003,WED_pr02,GABA,3.403846154,
720575940633044634,WED_pr02,GABA,3.096153846,
720575940612078511,WED_pr02,GABA,3.317307692,
720575940630749523,WED_pr02,GABA,3.5,
720575940629938487,WED_pr02,GABA,3.378205128,
720575940628267264,WED_pr02,GABA,3.445512821,
720575940610116581,IPS_pr02,GABA,3.403846154,3.355769231
720575940614018060,IPS_pr02,GABA,3.307692308,
720575940644968302,AVLP_pr23,Ach,3.144230769,3.192307692
720575940631153194,AVLP_pr23,Ach,3.240384615,
720575940622409983,PVLP_pr03-1,GABA,6.096153846,6.131009615
720575940615205427,PVLP_pr03-1,GABA,6.227564103,
720575940621730910,PVLP_pr03-1,GABA,6.320512821,
720575940626583056,PVLP_pr03-1,GABA,5.919871795,
720575940636533574,PVLP_pr03-1,GABA,6.192307692,
720575940630637330,PVLP_pr03-1,GABA,6.243589744,
720575940623808520,PVLP_pr03-1,GABA,6.269230769,
720575940621301274,PVLP_pr03-1,GABA,5.778846154,
720575940625600284,PVLP_pr03-2,GABA,6.038461538,5.882478632
720575940654167201,PVLP_pr03-2,GABA,5.967948718,
720575940610653462,PVLP_pr03-2,GABA,5.778846154,
720575940622304243,PVLP_pr03-2,GABA,5.935897436,
720575940628538732,PVLP_pr03-2,GABA,5.737179487,
720575940604285356,PVLP_pr03-3,GABA,5.099358974,4.840544872
720575940625194558,PVLP_pr03-3,GABA,4.657051282,
720575940640926627,PVLP_pr03-3,GABA,4.75,
720575940611091012,PVLP_pr03-3,GABA,4.855769231,
720575940624571116,SAD_pr01,GABA,2.384615385,2.352564103
720575940644488727,SAD_pr01,GABA,2.320512821,
720575940612409494,AVLP_pr35,GABA,4.810897436,4.961538462
720575940626196313,AVLP_pr35,GABA,5.112179487,
720575940619415679,vpoEN,Ach,3.641025641,3.688301282
720575940632385943,vpoEN,Ach,3.746794872,
720575940635403230,vpoEN,Ach,3.625,
720575940634829168,vpoEN,Ach,3.740384615,
720575940614752395,vpoIN-1,GABA,5.53525641,5.360897436
720575940618851425,vpoIN-1,GABA,5.663461538,
720575940612403427,vpoIN-1,GABA,4.564102564,
720575940628528377,vpoIN-1,GABA,5.78525641,
720575940628542807,vpoIN-1,GABA,5.596153846,
720575940623256202,vpoIN-1,GABA,5.493589744,
720575940632392599,vpoIN-1,GABA,5.073717949,
720575940629199146,vpoIN-1,GABA,5.628205128,
720575940627718394,vpoIN-1,GABA,4.96474359,
720575940633033567,vpoIN-1,GABA,5.304487179,
720575940628256763,vpoIN-2,GABA,5.173076923,5.345619658
720575940616727782,vpoIN-2,GABA,5.355769231,
720575940620076415,vpoIN-2,GABA,5.198717949,
720575940615200059,vpoIN-2,GABA,5.448717949,
720575940636705502,vpoIN-3,GABA,3.916666667,3.921474359
720575940615894877,vpoIN-3,GABA,3.926282051,
720575940625295339,pMN1,Ach,5.243589744,5.233974359
720575940619486891,pMN1,Ach,5.224358974,
720575940613170498,pMN2,Ach,5.314102564,5.352564103
720575940627496829,pMN2,Ach,5.391025641,
720575940636910825,pC2la,Ach,5.673076923,5.722467058
720575940627670032,pC2la,Ach,5.493589744,
720575940623855397,pC2la,Ach,5.884615385,
720575940610455781,pC2la,Ach,5.708333333,
720575940621431492,pC2la,Ach,5.762820513,
720575940634545294,pC2la,Ach,5.913461538,
720575940630344396,pC2la,Ach,5.240384615,
720575940610373326,pC2la,Ach,5.871794872,
720575940632522848,pC2la,Ach,5.669871795,
720575940619302640,pC2la,Ach,5.955128205,
720575940630057979,pC2la,Ach,5.586538462,
720575940619675712,pC2la,Ach,5.83974359,
720575940629133052,pC2la,Ach,6.083333333,
720575940617333976,pC2la,Ach,6.330128205,
720575940640992731,pC2la,Ach,5.333333333,
720575940620931348,pC2la,Ach,5.038461538,
720575940610359758,pC2la,Ach,5.926282051,
720575940638095293,pC2lb,Ach,4.929487179,4.946714744
720575940618475101,pC2lb,Ach,5.131410256,
720575940631179807,pC2lb,Ach,4.817307692,
720575940626793831,pC2lb,Ach,4.945512821,
720575940623725972,pC2lb,Ach,4.830128205,
720575940633300148,pC2lb,Ach,5.173076923,
720575940640176848,pC2lb,Ach,4.871794872,
720575940611401709,pC2lb,Ach,4.875,
720575940628719375,pC2lc,Ach,5.650641026,5.55849359
720575940629407020,pC2lc,Ach,5.391025641,
